Instance,Edges,k,Seed,Objective,Total Time (s),Evals
howe4,115,8,6948,105.432859,91.22,4387
howe4,115,8,6119,106.135835,91.541,5516
howe4,115,8,5253,105.706404,90.122,10670
howe4,115,8,5134,103.871259,90.67,720
howe4,115,8,7350,106.72458,91.057,7260
howe4,115,8,2652,106.546852,92.601,1819
howe4,115,8,9968,104.400173,92.248,6448
howe4,115,8,3914,104.994459,92.148,11270
howe4,115,8,6899,106.574235,92.125,10616
howe4,115,8,4715,107.451035,91.147,14857
howe5,141,2,8115,407.654033,133.688,5492
howe5,141,2,3520,405.269557,134.294,1744
howe5,141,2,8647,405.830919,133.175,5073
howe5,141,2,9420,403.909402,132.896,1408
howe5,141,2,3116,409.146357,131.695,6631
howe5,141,2,6377,398.64873,129.501,430
howe5,141,2,6207,407.17374,133.157,1638
howe5,141,2,4187,408.169836,131.683,9164
howe5,141,2,3641,409.621347,131.752,8880
howe5,141,2,8591,404.593964,132.948,1608
howe5,141,2,3580,404.191916,132.43,14916
howe5,141,2,8524,406.566581,130.818,5964
howe5,141,2,2650,407.753516,132.409,12356
howe5,141,2,2811,408.744547,132.528,6267
howe5,141,2,9963,411.023157,131.423,4608
howe5,141,2,7537,406.739006,130.36,13243
howe5,141,2,3472,409.61214,132.905,7638
howe5,141,2,3714,406.593964,131.149,163
howe5,141,2,8158,402.269319,129.741,8731
howe5,141,2,7284,398.603171,131.421,1917
howe5,141,2,6948,402.287733,134.405,11677
howe5,141,2,6119,409.918371,132.273,8956
howe5,141,2,5253,404.296702,130.281,7245
howe5,141,2,5134,403.584757,132.829,1404
howe5,141,2,7350,406.812743,133.283,7108
howe5,141,2,2652,404.890988,132.726,5315
howe5,141,2,9968,402.155564,131.756,1324
howe5,141,2,3914,404.680574,133.695,2886
howe5,141,2,6899,410.918371,132.788,5632
howe5,141,2,4715,410.077923,130.655,11314
howe5,141,4,8115,221.376218,136.207,2920
howe5,141,4,3520,220.454701,136.156,10916
howe5,141,4,8647,221.280639,135.343,984
howe5,141,4,9420,220.275336,133.276,5855
howe5,141,4,3116,219.313325,131.829,3075
howe5,141,4,6377,215.827491,133.79,5281
howe5,141,4,6207,219.58687,133.592,4788
howe5,141,4,4187,221.988918,133.757,1480
howe5,141,4,3641,222.878591,133.197,6601
howe5,141,4,8591,216.851208,134.035,9631
howe5,141,4,3580,219.175615,136.02,5666
howe5,141,4,8524,221.709594,133.177,11725
howe5,141,4,2650,216.326198,133.96,14062
howe5,141,4,2811,226.878591,134.373,3101
howe5,141,4,9963,216.313325,136.92,11289
howe5,141,4,7537,221.764598,134.458,4529
howe5,141,4,3472,210.896767,133.387,1094
howe5,141,4,3714,220.55028,136.91,11990
howe5,141,4,8158,220.271432,131.679,14633
howe5,141,4,7284,221.016063,133.146,9723
howe5,141,4,6948,221.331501,134.015,12975
howe5,141,4,6119,220.256922,134.786,1834
howe5,141,4,5253,225.166646,138.547,5458
howe5,141,4,5134,221.55028,133.737,325
howe5,141,4,7350,224.449398,133.248,2490
howe5,141,4,2652,226.58687,135.525,10009
howe5,141,4,9968,218.016301,132.816,12864
howe5,141,4,3914,224.860415,134.447,4620
howe5,141,4,6899,221.526801,135.32,2491
howe5,141,4,4715,223.928611,135.346,7141
howe5,141,8,8115,128.451035,135.319,5844
howe5,141,8,3520,128.715611,134.949,11504
howe5,141,8,8647,128.258797,134.884,5313
howe5,141,8,9420,129.276973,133.79,5949
howe5,141,8,3116,127.865956,134.897,2660
howe5,141,8,6377,128.040018,135.66,13184
howe5,141,8,6207,126.546852,135.12,6320
howe5,141,8,4187,126.733787,133.294,14135
howe5,141,8,3641,129.697197,135.377,14964
howe5,141,8,8591,128.679021,135.187,13934
howe5,141,8,3580,128.998125,133.464,116
howe5,141,8,8524,129.733787,132.805,12883
howe5,141,8,2650,129.28618,134.579,4590
howe5,141,8,2811,129.172187,135.624,12493
howe5,141,8,9963,124.706404,134.613,8661
howe5,141,8,7537,127.979949,134.057,14283
howe5,141,8,3472,127.715373,136.535,11622
howe5,141,8,3714,129.007332,135.921,8346
howe5,141,8,8158,128.144804,137.614,3686
howe5,141,8,7284,124.81119,137.39,971
howe5,141,8,6948,128.030811,135.524,11079
howe5,141,8,6119,128.273307,136.261,8532
howe5,141,8,5253,126.126628,132.882,3035
howe5,141,8,5134,128.400173,132.633,12739
howe5,141,8,7350,127.432859,134.885,14764
howe5,141,8,2652,124.400173,133.838,11388
howe5,141,8,9968,126.583204,132.876,3550
howe5,141,8,3914,126.733787,133.849,3474
howe5,141,8,6899,129.418349,133.33,7293
howe5,141,8,4715,124.998125,135.664,7121
ktruss1,45,2,8115,117.916218,18.997,14245
ktruss1,45,2,3520,118.224281,19.356,12931
ktruss1,45,2,8647,118.467078,20.115,11651
ktruss1,45,2,9420,118.108454,18.925,9388
ktruss1,45,2,3116,118.171888,18.592,14868
ktruss1,45,2,6377,118.030211,19.948,13911
ktruss1,45,2,6207,117.925425,18.862,4053
ktruss1,45,2,4187,118.108454,18.86,7461
ktruss1,45,2,3641,118.108454,18.527,14000
ktruss1,45,2,8591,117.977818,18.163,10279
ktruss1,45,2,3580,118.3201,18.799,13587
ktruss1,45,2,8524,117.977818,18.248,7816
ktruss1,45,2,2650,119.144206,18.779,4422
ktruss1,45,2,2811,118.388835,18.54,5538
ktruss1,45,2,9963,117.916218,18.582,14628
ktruss1,45,2,7537,117.916218,18.62,8334
ktruss1,45,2,3472,118.092112,18.743,11273
ktruss1,45,2,3714,117.916218,18.111,11444
